from,to,distance,cost
313551,315901,0.341,
315900,313552,0.341,
315900,315901,0.341,
313349,313344,0.336,
313349,315911,0.336,
315910,313344,0.336,
315910,315911,0.336,
312139,311903,0.295,
312139,311930,0.295,
311903,318282,0.6,
311930,318282,0.6,
318282,312098,0.337,
318282,316364,0.337,
318022,318102,1.495,
313979,318022,2.016,
318113,314013,3.645,
314013,314013,0.0,
314994,315042,0.922,
312134,312133,1.771,
315060,312132,2.068,
313552,314379,3.082,
313552,315903,3.082,
315901,314379,3.082,
315901,315903,3.082,
314241,313349,3.383,
314241,315910,3.383,
315908,313349,3.383,
315908,315910,3.383,
318550,313551,3.753,
318550,315900,3.753,
318551,313551,3.753,
318551,315900,3.753,
313344,313339,3.375,
313344,315913,3.375,
315911,313339,3.375,
315911,315913,3.375,
316271,318550,1.341,
316271,318551,1.341,
316280,318550,1.341,
316280,318551,1.341,
313339,316279,1.329,
313339,316281,1.329,
315913,316279,1.329,
315913,316281,1.329,
313055,316271,0.496,
313055,316280,0.496,
316279,313082,0.486,
316279,315914,0.486,
316281,313082,0.486,
316281,315914,0.486,
313082,313080,0.231,
313082,315915,0.231,
315914,313080,0.231,
315914,315915,0.231,
313080,313037,7.58,
315915,313037,7.58,
313037,313035,0.257,
314042,314036,0.181,
314042,315895,0.181,
315894,314036,0.181,
315894,315895,0.181,
314036,313055,5.195,
315895,313055,5.195,
313658,314042,3.862,
313658,315894,3.862,
313035,313010,2.027,
313010,312188,2.308,
312188,313005,0.478,
312188,318742,0.478,
314668,313658,3.695,
313005,313003,0.152,
313005,318744,0.152,
318742,313003,0.152,
318742,318744,0.152,
314711,314668,0.181,
314712,314668,0.181,
313003,318218,1.047,
318744,318218,1.047,
313852,314711,1.008,
313852,314712,1.008,
318218,313846,0.035,
318528,313000,0.202,
312133,317814,0.887,
317815,315060,0.883,
317814,313159,0.861,
314652,317815,0.859,
313159,314876,4.522,
314877,314652,4.511,
314876,314886,0.263,
314886,314899,1.412,
314899,314909,0.47,
318599,314877,2.155,
314909,314923,2.119,
318443,318599,2.122,
314923,314936,1.036,
318626,318443,1.042,
314936,314968,1.964,
318680,318626,1.971,
314955,314982,0.551,
314982,315017,0.38,
318674,318484,0.675,
315017,318632,1.363,
315030,318674,1.744,
318632,315054,1.318,
315042,315030,1.25,
315054,312343,3.579,
312326,314994,3.004,
315054,315969,4.115,
315938,315006,3.155,
315938,312343,4.099,
315938,317885,6.996,
317884,315804,1.552,
315804,312343,5.162,
315804,315006,4.28,
315804,315969,5.875,
317884,318383,10.194,
318366,318354,0.164,
318383,318451,0.835,
313772,318366,0.925,
318354,318142,1.932,
318142,318126,0.63,
313184,318586,0.233,
318593,312946,0.416,
316114,313184,0.232,
312944,316114,0.151,
312946,312942,0.606,
316118,312944,0.445,
312940,316118,1.15,
312942,312900,1.346,
312898,312940,1.025,
312900,316129,0.831,
312896,312898,0.525,
316129,314598,0.531,
312895,312896,0.755,
314598,313204,1.656,
312807,312895,0.749,
312804,312807,0.582,
313204,313197,0.429,
312782,312804,0.554,
313197,318540,0.634,
312694,312745,0.617,
312745,313951,0.95,
313951,314121,0.502,
312857,312856,0.508,
314121,312865,1.131,
312865,314147,0.496,
312771,312757,0.139,
312757,312857,1.477,
312689,312694,0.747,
312220,312103,0.301,
312236,312220,2.057,
314371,314559,0.271,
314559,313852,5.255,
313846,318528,2.512,
312264,318493,0.994,
314147,312858,0.543,
312858,312782,0.789,
318540,314157,0.675,
314157,312771,0.565,
312856,312854,1.609,
312856,315860,1.609,
312854,312852,1.599,
312854,315861,1.599,
312854,316429,1.599,
315860,312852,1.599,
315860,315861,1.599,
315860,316429,1.599,
313956,312689,0.756,
315879,312689,0.756,
312098,314371,6.036,
316364,314371,6.036,
312103,312010,2.757,
314968,316073,2.986,
314968,316074,2.986,
316073,314955,1.218,
316074,314955,1.218,
318484,318680,4.066,
318451,312139,4.676,
312010,313772,4.274,
312648,312651,0.182,
312648,315842,0.182,
315841,312651,0.182,
315841,315842,0.182,
312651,312233,1.44,
312651,315836,1.44,
315842,312233,1.44,
315842,315836,1.44,
314617,314681,1.185,
314617,315835,1.185,
315837,314681,1.185,
315837,315835,1.185,
312233,312382,0.628,
312233,315838,0.628,
315836,312382,0.628,
315836,315838,0.628,
314501,314617,0.714,
314501,315837,0.714,
315839,314617,0.714,
315839,315837,0.714,
312382,312386,0.549,
312382,315822,0.549,
315838,312386,0.549,
315838,315822,0.549,
317902,314501,1.278,
317902,315839,1.278,
317903,314501,1.278,
317903,315839,1.278,
312386,312388,0.651,
312386,315843,0.651,
315822,312388,0.651,
315822,315843,0.651,
312388,317909,0.445,
312388,317910,0.445,
315843,317909,0.445,
315843,317910,0.445,
312420,317902,0.448,
312420,317903,0.448,
315846,317902,0.448,
315846,317903,0.448,
317909,312421,0.589,
317909,315847,0.589,
317910,312421,0.589,
317910,315847,0.589,
317974,312420,0.588,
317974,315846,0.588,
317998,312420,0.588,
317998,315846,0.588,
312421,312422,0.888,
312421,315849,0.888,
315847,312422,0.888,
315847,315849,0.888,
312425,312513,0.753,
312425,315852,0.753,
315850,312513,0.753,
315850,315852,0.753,
312422,312425,0.379,
312422,315850,0.379,
315849,312425,0.379,
315849,315850,0.379,
318028,317974,2.099,
318028,317998,2.099,
318029,317974,2.099,
318029,317998,2.099,
312513,312514,0.895,
312513,315853,0.895,
315852,312514,0.895,
315852,315853,0.895,
312514,312520,0.319,
312514,315873,0.319,
315853,312520,0.319,
315853,315873,0.319,
312517,318028,0.96,
312517,318029,0.96,
315824,318028,0.96,
315824,318029,0.96,
312520,312523,0.813,
312520,315854,0.813,
315873,312523,0.813,
315873,315854,0.813,
318035,312517,1.13,
318035,315824,1.13,
318036,312517,1.13,
318036,315824,1.13,
312523,312525,0.587,
312523,315855,0.587,
315854,312525,0.587,
315854,315855,0.587,
312525,312527,0.346,
312525,315856,0.346,
315855,312527,0.346,
315855,315856,0.346,
313144,318035,0.45,
313144,318036,0.45,
315858,318035,0.45,
315858,318036,0.45,
312530,313144,1.233,
312530,315858,1.233,
315857,313144,1.233,
315857,315858,1.233,
317895,313144,1.233,
317895,315858,1.233,
317896,313144,1.233,
317896,315858,1.233,
312527,312562,1.873,
312527,315825,1.873,
315856,312562,1.873,
315856,315825,1.873,
312562,318565,0.348,
312562,318566,0.348,
315825,318565,0.348,
315825,318566,0.348,
312564,312530,1.343,
312564,315857,1.343,
312564,317895,1.343,
312564,317896,1.343,
315874,312530,1.343,
315874,315857,1.343,
315874,317895,1.343,
315874,317896,1.343,
312566,312564,0.941,
312566,315874,0.941,
315875,312564,0.941,
315875,315874,0.941,
318565,318575,0.942,
318565,318576,0.942,
318566,318575,0.942,
318566,318576,0.942,
318575,313956,0.847,
318575,315879,0.847,
318576,313956,0.847,
318576,315879,0.847,
312852,312566,0.73,
312852,315875,0.73,
315861,312566,0.73,
315861,315875,0.73,
316429,312566,0.73,
316429,315875,0.73,
314013,314025,0.252,
314025,318076,1.965,
318077,313979,2.371,
318076,318053,2.881,
318052,318077,2.875,
318053,314548,5.355,
314548,318135,0.586,
314548,318736,0.586,
318126,318052,5.382,
318135,318383,2.183,
318736,318383,2.183,
73,5,,352.6
5,154,,347.2
154,263,,392.9
263,56,,440.8
56,96,,374.6
96,42,,378.1
42,58,,364.6
58,95,,476.8
95,72,,480.1
72,271,,419.5
271,68,,251.1
134,107,,344.0
107,130,,862.1
130,129,,482.5
227,167,,1425.7
167,298,,415.7
298,209,,425.5
209,146,,519.6
146,170,,494.7
170,173,,400.7
173,117,,372.4
117,0,,573.5
0,92,,398.0
92,243,,667.3
243,62,,357.3
203,80,,1071.1
80,97,,834.1
97,28,,531.4
28,57,,327.7
57,55,,925.2
55,223,,382.7
223,143,,309.5
143,269,,329.1
269,290,,362.0
290,110,,425.6
110,121,,388.4
121,299,,327.1
299,293,,326.1
293,148,,534.9
148,150,,341.1
150,152,,354.5
98,70,,315.1
70,255,,1308.8
128,131,,672.4
131,132,,803.8
132,133,,363.2
242,18,,789.9
18,43,,422.6
43,118,,449.7
118,207,,448.7
207,169,,459.6
169,127,,422.2
127,208,,450.6
208,297,,426.0
297,168,,430.0
168,166,,395.1
166,226,,1027.2
13,26,,341.5
26,94,,408.2
94,219,,612.7
219,217,,359.6
217,31,,411.9
31,215,,478.7
215,111,,2685.8
111,116,,1194.2
116,36,,409.1
36,78,,414.7
301,20,,446.0
273,138,,326.7
138,284,,489.7
284,114,,464.9
114,245,,397.5
245,48,,376.8
48,206,,402.5
206,144,,356.9
144,172,,358.4
237,24,,452.4
304,35,,378.0
35,115,,503.6
115,86,,1228.5
86,214,,2712.1
214,27,,471.1
27,216,,419.6
216,218,,359.8
218,76,,356.6
76,238,,424.6
238,50,,527.9
91,52,,424.1
52,75,,350.2
75,171,,397.2
44,7,,380.6
256,1,,1149.5
1,46,,448.5
212,270,,328.7
270,32,,352.3
32,10,,406.7
3,247,,424.5
247,249,,609.8
249,225,,515.0
261,260,,294.1
260,259,,340.6
259,103,,360.7
103,302,,346.7
302,104,,1093.8
104,71,,363.7
71,88,,360.2
88,268,,372.8
268,240,,420.3
240,9,,451.3
9,239,,358.1
239,23,,441.0
23,22,,319.8
22,49,,447.5
276,258,,427.0
155,157,,353.4
157,158,,331.7
158,286,,383.8
286,102,,330.1
102,285,,367.8
285,15,,348.8
15,8,,352.1
8,300,,397.9
300,34,,394.2
34,161,,359.8
161,125,,426.1
125,235,,413.7
235,163,,409.7
163,236,,368.2
236,250,,460.1
250,122,,391.6
122,252,,393.6
252,69,,380.0
69,39,,338.1
39,234,,361.3
234,82,,356.8
82,274,,748.3
274,175,,357.0
175,177,,360.6
177,213,,316.1
213,179,,310.7
179,33,,328.3
33,181,,333.0
181,183,,563.8
183,184,,331.4
184,185,,375.4
185,254,,332.5
254,188,,333.5
188,141,,381.6
141,278,,302.4
278,289,,393.7
289,190,,329.5
190,192,,320.7
192,194,,358.9
194,196,,300.5
196,198,,264.8
198,180,,293.3
266,135,,325.4
135,54,,379.8
54,231,,392.3
231,66,,828.6
66,59,,423.2
59,232,,802.7
112,14,,357.6
14,89,,334.2
145,228,,454.6
228,205,,354.0
205,244,,386.4
244,100,,437.8
100,303,,449.2
303,136,,431.2
136,305,,413.2
305,139,,355.4
153,151,,330.7
151,149,,377.7
149,295,,408.2
295,291,,334.3
291,294,,341.2
294,77,,362.2
77,109,,383.8
109,292,,353.4
292,147,,371.0
147,29,,486.6
29,222,,292.7
222,79,,1270.1
79,90,,981.4
90,2,,572.5
2,81,,318.6
81,204,,1023.1
224,229,,520.6
229,4,,315.9
4,246,,312.3
246,11,,418.5
93,87,,412.1
87,74,,361.3
74,165,,305.1
165,241,,347.4
241,108,,404.0
108,137,,345.7
137,123,,352.7
123,37,,341.4
37,84,,373.4
84,101,,345.3
101,221,,394.3
221,220,,574.3
220,201,,389.5
201,211,,274.9
211,210,,356.1
210,262,,373.4
262,306,,345.1
6,83,,483.2
200,199,,317.7
199,197,,309.3
197,195,,313.3
195,193,,271.7
193,191,,322.3
191,189,,312.4
189,280,,420.9
280,279,,384.8
279,140,,323.4
140,187,,341.2
187,186,,410.0
186,296,,354.2
296,126,,367.6
126,182,,490.7
182,248,,314.6
248,25,,352.9
25,178,,307.1
178,142,,418.2
142,176,,341.3
176,174,,344.9
174,113,,755.8
113,124,,234.9
124,253,,385.9
253,30,,310.6
30,67,,358.9
67,164,,413.3
164,119,,387.3
119,120,,407.6
120,61,,395.7
61,19,,496.4
19,162,,412.1
162,51,,472.2
51,160,,440.1
160,159,,434.5
159,64,,378.4
64,287,,353.1
287,267,,375.5
267,288,,369.7
288,283,,376.8
283,281,,392.2
281,282,,360.2
282,156,,384.4
60,38,,394.1
38,65,,415.0
65,230,,435.8
230,47,,353.0
47,265,,341.8
265,264,,334.1
99,53,,248.3
53,45,,389.9
45,12,,404.3
12,41,,378.3
41,272,,365.0
272,106,,366.7
106,17,,360.6
17,63,,424.4
63,202,,389.6
202,16,,328.2
16,40,,328.8
40,105,,355.1
21,233,,332.0
233,277,,399.4
257,275,,363.3
235,264,,168.6
264,163,,293.4
19,266,,87.7
266,162,,327.4
122,70,,313.4
70,252,,129.3
164,70,,93.4
70,119,,385.3
122,1,,265.2
1,252,,275.9
252,46,,271.5
164,1,,221.0
1,119,,319.9
119,46,,444.4
179,128,,441.7
128,33,,195.8
246,65,,372.6
65,11,,324.6
11,230,,311.0
3,230,,311.9
65,247,,373.6
246,59,,346.1
231,11,,312.5
3,231,,313.4
231,247,,203.2
247,59,,347.1
47,35,,332.5
35,265,,519.6
265,115,,77.0
135,115,,153.2
35,54,,352.5
47,36,,252.5
116,265,,78.2
135,116,,154.4
116,54,,242.2
54,36,,267.1
240,10,,271.4
10,9,,570.6
240,91,,82.3
108,91,,351.7
91,137,,98.3
208,104,,393.0
104,127,,76.8
209,104,,393.1
104,146,,135.9
207,251,,129.0
251,118,,336.7
118,85,,195.8
85,207,,376.2
57,242,,313.2
242,28,,23.1
57,243,,312.9
243,28,,22.2
109,276,,278.1
276,292,,109.6
143,133,,329.8
133,269,,75.3
97,68,,225.3
68,57,,203.6
79,99,,78.0
27,98,,7.7
27,46,,163.8
46,216,,353.6
217,98,,411.7
98,31,,3.2
217,46,,354.0
46,31,,163.6
721,445,,0.79
542,480,,2.575
770,702,,0.926
32,266,,0.596
34,56,,0.628
251,297,,0.725
233,41,,1.6130000000000002
680,129,,0.596
449,555,,3.909
871,763,,1.134
175,205,,1.295
739,241,,0.802
126,720,,1.348
626,709,,0.589
97,397,,3.4210000000000003
222,734,,0.309
101,273,,1.445
408,295,,0.897
509,697,,0.721
391,576,,4.126
506,822,,1.644
785,69,,0.512
603,245,,0.852
245,596,,3.851
35,841,,0.8440000000000001
249,120,,0.56
134,263,,1.715
448,638,,1.022
123,635,,0.725
635,155,,0.966
656,748,,0.593
220,136,,1.796
414,656,,5.859
579,651,,3.726
20,395,,0.402
511,20,,0.772
880,108,,0.58
574,743,,0.76
573,152,,1.031
793,72,,2.219
446,793,,0.8
562,446,,1.631
317,679,,0.477
600,317,,0.64
585,36,,14.353
838,585,,4.0760000000000005
838,14,,0.831
812,19,,0.598
863,591,,2.504
863,792,,1.88
601,787,,1.968
223,499,,8.095
411,18,,0.5489999999999999
727,773,,0.774
178,407,,1.786
247,114,,2.929
247,605,,2.435
705,619,,0.319
146,198,,0.5
552,602,,0.965
210,862,,1.023
702,643,,0.934
801,239,,0.634
686,721,,0.5529999999999999
239,805,,1.487
654,554,,0.7929999999999999
186,235,,0.66
643,186,,0.226
765,770,,0.593
266,34,,0.742
471,312,,0.69
56,425,,0.933
577,269,,0.385
604,251,,1.032
128,389,,0.802
297,755,,0.631
844,393,,0.522
41,566,,0.733
341,844,,1.594
731,341,,0.6859999999999999
747,570,,0.606
607,139,,2.178
387,607,,0.79
569,387,,1.064
3,367,,2.072
29,569,,0.191
800,29,,1.187
315,800,,1.4169999999999998
637,315,,0.626
137,780,,0.599
429,819,,0.952
58,564,,0.75
325,610,,1.046
795,495,,1.31
807,853,,0.238
118,472,,0.805
853,177,,0.772
177,99,,0.08
99,287,,1.31
287,672,,1.125
300,704,,0.3379999999999999
704,536,,1.24
672,306,,1.16
153,300,,1.294
306,144,,1.154
51,153,,1.172
144,847,,1.609
440,51,,1.3730000000000002
847,424,,2.103
322,440,,1.521
424,282,,0.845
729,322,,0.557
250,729,,1.077
282,660,,0.8140000000000001
191,250,,1.016
874,83,,1.238
636,191,,0.296
83,355,,1.74
93,636,,1.238
351,93,,1.483
351,112,,0.895
346,680,,0.268
717,346,,0.594
514,15,,0.405
653,66,,3.656
15,204,,0.8009999999999999
204,288,,1.159
830,227,,0.207
706,126,,0.272
572,830,,0.272
720,783,,1.108
451,764,,0.529
783,23,,0.35
244,675,,0.56
709,224,,0.779
383,244,,0.589
95,383,,0.414
867,95,,0.72
105,517,,0.273
406,354,,0.401
71,437,,0.996
768,132,,1.874
646,216,,1.031
781,222,,3.315
37,781,,0.145
216,170,,1.341
627,447,,0.135
170,640,,0.7829999999999999
586,627,,1.359
640,620,,0.8190000000000001
237,586,,0.8009999999999999
620,501,,1.638
668,237,,0.8170000000000001
501,4,,0.256
845,668,,1.621
253,845,,3.924
683,852,,2.716
513,710,,0.192
818,513,,0.7709999999999999
550,44,,0.736
648,375,,0.2239999999999999
375,408,,0.64
697,101,,0.882
295,676,,0.866
821,228,,0.6890000000000001
174,156,,0.802
166,821,,0.144
181,166,,0.64
124,181,,0.241
791,372,,0.747
261,124,,0.513
372,173,,0.305
623,261,,1.064
412,623,,2.087
454,412,,2.614
299,657,,2.855
138,454,,2.474
657,581,,0.593
581,391,,0.884
822,138,,4.345
339,506,,0.578
280,320,,0.7709999999999999
589,394,,0.785
394,232,,0.6559999999999999
61,782,,0.8340000000000001
232,785,,0.995
305,61,,0.7559999999999999
381,149,,0.344
762,722,,0.889
726,762,,0.29
149,701,,0.598
687,726,,0.6509999999999999
545,606,,0.273
421,217,,0.8190000000000001
606,368,,0.929
368,362,,0.7659999999999999
837,421,,1.186
294,779,,0.239
195,140,,0.624
458,195,,0.24
779,708,,0.8340000000000001
708,659,,0.208
27,458,,0.898
659,868,,0.544
213,603,,0.941
283,150,,0.652
841,283,,0.908
523,35,,1.235
468,688,,0.336
519,28,,2.052
688,751,,0.7070000000000001
483,102,,1.945
738,270,,0.319
270,134,,0.337
120,483,,0.368
561,249,,1.537
263,848,,0.305
597,561,,0.336
848,460,,1.237
460,55,,0.239
777,452,,0.208
55,206,,1.492
113,777,,1.347
206,516,,0.368
516,448,,0.978
57,130,,0.7829999999999999
155,614,,0.625
614,598,,0.417
363,655,,1.746
117,103,,1.235
655,345,,4.065
255,117,,2.484
172,255,,0.562
345,220,,0.593
748,369,,1.88
136,286,,1.444
714,349,,0.8390000000000001
302,511,,0.37
349,184,,0.55
628,302,,0.789
184,880,,0.905
743,628,,0.726
226,431,,0.431
526,574,,0.955
431,491,,0.493
491,274,,0.618
122,526,,0.496
823,122,,0.62
274,333,,0.665
333,94,,0.316
176,823,,0.667
466,176,,0.318
94,207,,0.43
685,466,,0.413
207,858,,0.207
356,328,,0.7959999999999999
441,470,,0.787
453,356,,0.456
520,856,,0.7879999999999999
859,324,,0.6629999999999999
236,276,,0.66
84,385,,0.3429999999999999
723,84,,0.7879999999999999
386,723,,1.03
152,505,,0.578
430,866,,1.475
73,488,,1.235
285,318,,0.481
30,54,,0.672
465,662,,0.48
2,0,,0.8170000000000001
116,427,,0.623
114,496,,0.792
42,537,,0.64
277,419,,0.562
831,618,,1.671
490,277,,1.3
618,500,,1.574
365,490,,1.783
500,771,,0.546
9,265,,0.835
630,193,,1.689
786,9,,1.621
193,80,,1.607
259,786,,0.851
80,857,,1.842
167,332,,1.039
582,203,,0.805
673,12,,0.321
599,292,,1.789
732,582,,0.225
203,209,,0.307
12,733,,0.37
68,91,,0.679
594,371,,2.715
524,599,,1.412
499,430,,1.987
168,832,,1.456
443,301,,0.861
301,70,,1.643
804,168,,1.128
459,804,,1.454
70,849,,0.968
289,760,,0.504
750,242,,0.3229999999999999
835,727,,0.547
18,833,,10.729
773,772,,0.999
772,171,,1.3330000000000002
171,303,,0.901
303,528,,0.738
528,310,,2.114
310,178,,1.76
407,247,,1.958
525,438,,8.827
39,359,,1.606
565,284,,0.24
214,264,,1.5
716,163,,1.513
667,664,,0.965
619,799,,0.561
481,647,,3.622
96,185,,1.803
378,481,,1.505
185,160,,1.879
160,331,,1.3030000000000002
6,146,,1.16
761,649,,0.446
649,473,,0.557
133,62,,0.972
602,90,,0.978
836,187,,2.205
164,319,,2.318
88,164,,0.143
187,335,,0.143
335,754,,2.015
827,88,,1.7380000000000002
749,827,,3.699
862,749,,1.048
735,45,,0.7759999999999999
670,194,,2.263
694,77,,0.382
571,197,,1.029
197,658,,0.359
532,450,,1.391
439,634,,0.39
24,532,,0.775
559,560,,3.983
810,413,,1.04
865,869,,0.584
110,404,,1.083
87,314,,1.376
393,128,,0.546
563,795,,1.554
592,510,,0.465
242,724,,0.321
764,572,,0.802
156,791,,0.625
173,784,,2.336
751,738,,2.222
102,519,,1.253
452,597,,1.314
130,113,,1.588
638,703,,5.313
598,363,,1.235
505,430,,0.767
850,259,,0.802
854,850,,0.209
612,854,,0.451
671,588,,1.055
754,587,,3.835
72,530,,0.8320000000000001
695,7,,1.495
311,695,,1.864
462,836,,0.24
21,531,,2.9560000000000004
323,279,,1.234
194,75,,1.185
304,411,,0.532
151,304,,0.79
872,151,,0.594
438,872,,0.7240000000000001
587,877,,1.655
286,579,,2.611
369,172,,0.882
797,406,,0.272
11,24,,0.6809999999999999
549,364,,0.802
389,577,,1.032
564,637,,1.223
780,429,,0.535
674,58,,0.7340000000000001
495,674,,0.585
436,563,,2.115
165,807,,0.922
766,592,,0.285
361,864,,0.936
851,280,,5.792999999999999
558,27,,0.324
376,663,,1.756
290,750,,0.828
724,133,,0.977
90,761,,0.472
224,797,,0.8270000000000001
826,60,,1.365
435,489,,1.21
60,109,,4.113
512,435,,1.3730000000000002
125,512,,0.7070000000000001
639,97,,0.976
699,768,,0.307
734,71,,4.009
426,691,,3.0460000000000003
26,508,,0.722
873,527,,0.7859999999999999
713,449,,0.326
808,717,,0.804
864,808,,0.337
326,826,,1.207
725,405,,1.929
179,105,,0.606
192,52,,8.842
314,542,,2.59
757,796,,0.223
796,736,,0.72
736,32,,1.034
566,67,,0.541
67,747,,1.003
610,147,,1.093
147,25,,2.195
555,840,,0.482
162,568,,1.909
568,739,,0.92
814,344,,4.592
344,494,,10.337
82,731,,0.609
199,82,,1.006
472,104,,1.27
536,118,,1.93
763,621,,5.17
474,871,,0.8029999999999999
358,474,,0.483
388,17,,0.144
205,388,,1.466
64,492,,1.887
49,246,,4.502
767,49,,9.985
332,811,,0.143
475,730,,0.481
605,308,,0.483
157,417,,0.529
752,323,,0.391
75,752,,1.143
271,670,,0.865
855,200,,0.899
200,442,,0.933
650,68,,3.427
196,673,,0.885
533,196,,0.306
229,392,,0.532
486,229,,0.305
350,26,,0.593
135,350,,0.319
65,63,,0.208
615,65,,0.305
215,681,,0.374
401,215,,0.306
737,231,,0.3989999999999999
231,373,,0.35
81,774,,0.687
209,131,,0.599
190,188,,0.304
188,229,,5.2
188,467,,0.578
527,106,,0.304
106,309,,0.914
252,556,,0.291
556,127,,0.763
778,875,,0.432
875,493,,0.352
660,874,,0.503
331,290,,0.451
319,552,,0.722
473,6,,0.883
870,801,,0.795
805,549,,1.229
367,137,,1.787
45,876,,2.825
787,590,,3.312
19,456,,1.665
456,100,,1.641
66,125,,3.347
675,451,,1.127
109,514,,3.625
23,626,,0.208
487,825,,1.433
825,863,,0.436
792,652,,0.342
535,812,,1.871
712,601,,0.415
876,535,,4.595
590,398,,0.838
398,879,,0.496
879,608,,1.821
784,299,,2.242
218,212,,1.885
212,5,,0.857
5,541,,1.276
541,820,,1.943
820,272,,0.355
272,327,,1.999
327,89,,1.837
89,85,,1.984
